Time,ms_error,force_desired,force_event,force_weiss,force_robot,force_weiss2,delta_z,desire_ar,sense_ar
1630482546.5083597,0.006000000052154064,-0.21987532079219818,-0.0,13.089,-3.143763542175293,4.996,0.5899582471405316,0.0,-0.0
1630482546.5240495,0.006000000052154064,-0.43953365087509155,-0.0,12.968,-3.1250760555267334,5.023,0.5899582471405316,-0.20800000429153442,-0.0
1630482546.540065,0.007000000216066837,-0.6587581634521484,-0.0,13.018,-3.1218464374542236,5.075,0.5896858347099205,-0.20800000429153442,-0.0
1630482546.5559967,0.00800000037997961,-0.8773326277732849,-0.0,13.131,-3.0659596920013428,5.132,0.5895408859690126,-0.656000018119812,-0.0
1630482546.5716755,0.010999999940395355,-1.095041275024414,-0.0,13.189,-3.205979585647583,5.167,0.5895408859690126,-0.656000018119812,-0.0
1630482546.6019588,0.014000000432133675,-1.3116692304611206,-0.0,13.004,-2.832448720932007,5.059,0.589350805634127,-1.0880000591278076,-0.0
1630482546.6175256,0.01899999938905239,-1.5270026922225952,-0.0,12.805,-2.809722423553467,4.935,0.589350805634127,-1.0880000591278076,-0.0
1630482546.6329694,0.02500000037252903,-1.7408292293548584,-0.0,12.504,-2.890454053878784,4.828,0.589350805634127,-1.2960000038146973,-0.0
1630482546.6480367,0.03200000151991844,-1.9529377222061157,-0.0,12.035,-2.738175868988037,4.768,0.5890512252188747,-1.5199999809265137,-0.0
1630482546.6635728,0.04100000113248825,-2.163119077682495,-0.0,11.247,-2.5712926387786865,4.769,0.5890512252188747,-1.7280000448226929,-0.0
1630482546.6784148,0.052000001072883606,-2.3711655139923096,-0.0,10.143,-2.576503276824951,4.809,0.5890512252188747,-1.9520000219345093,-0.0
1630482546.6933117,0.06499999761581421,-2.576871871948242,-0.0,7.865,-2.540999412536621,4.838,0.5887404173592814,-2.368000030517578,-0.0
1630482546.707993,0.07999999821186066,-2.7800352573394775,-0.0,4.99,-2.4799211025238037,4.834,0.5887404173592814,-2.368000030517578,-0.0
1630482546.723553,0.09399999678134918,-2.980455160140991,-0.23787559568881989,1.687,-2.311657190322876,4.79,0.5887404173592814,-2.7679998874664307,-0.15316981077194214
1630482546.7392666,0.10999999940395355,-3.17793345451355,-0.28958606719970703,-0.93,-2.2472074031829834,4.751,0.5885654480832139,-2.7679998874664307,-0.23787559568881989
1630482546.7556744,0.12800000607967377,-3.3722758293151855,-0.3058658838272095,-3.252,-2.3371715545654297,4.726,0.588565518661011,-2.9760000705718994,-0.2816717326641083
1630482546.7714381,0.14900000393390656,-3.5632898807525635,-0.3111037611961365,-5.475,-2.3672101497650146,4.72,0.588565518661011,-3.1679999828338623,-0.3058658540248871
1630482546.7875051,0.17100000381469727,-3.7507874965667725,-0.30310437083244324,-7.316,-2.411755323410034,4.721,0.5885750138754744,-3.359999895095825,-0.3058658540248871
1630482546.8029475,0.19599999487400055,-3.9345836639404297,-0.310097873210907,-8.59,-2.382427215576172,4.714,0.5885750138754744,-3.552000045776367,-0.2976208031177521
1630482546.8190596,0.2240000069141388,-4.11449670791626,-0.31247538328170776,-9.483,-2.2984776496887207,4.705,0.5885750138754744,-3.9200000762939453,-0.3074248135089874
1630482546.834666,0.2540000081062317,-4.29034948348999,-0.3131901025772095,-10.247,-2.123539686203003,4.687,0.5884279151475758,-3.9200000762939453,-0.31095999479293823
1630482546.8504906,0.2840000092983246,-4.461967945098877,-0.41718789935112,-10.823,-2.1011736392974854,4.64,0.5884279151475758,-4.111999988555908,-0.3124754726886749
1630482546.8665524,0.3149999976158142,-4.629183292388916,-0.6262844204902649,-11.215,-1.8351227045059204,4.56,0.5884279151475758,-4.288000106811523,-0.41718798875808716
1630482546.882681,0.3440000116825104,-4.791829586029053,-0.8343873620033264,-11.47,-1.426032304763794,4.448,0.5875093156030529,-4.624000072479248,-0.5490973591804504
1630482546.898381,0.37299999594688416,-4.949747562408447,-1.0137097835540771,-11.446,-1.3295691013336182,4.321,0.5872280247240799,-4.783999919891357,-0.6993544101715088
1630482546.9143496,0.4020000100135803,-5.102780342102051,-1.117973804473877,-11.29,-0.9289404153823853,4.165,0.5872280247240799,-4.783999919891357,-0.9283813238143921
1630482546.9297507,0.4320000112056732,-5.250777721405029,-1.2228821516036987,-11.375,-0.8532118201255798,3.966,0.5872280247240799,-4.783999919891357,-1.0257223844528198
1630482546.9452636,0.4620000123977661,-5.393592834472656,-1.3777518272399902,-11.423,-0.08418393135070801,3.705,0.585669239996786,-5.0879998207092285,-1.099298119544983
1630482546.9606018,0.4909999966621399,-5.531085014343262,-1.570566177368164,-11.518,0.5057200789451599,3.422,0.585669239996786,-5.392000198364258,-1.2313618659973145
1630482546.9756727,0.515999972820282,-5.663118839263916,-1.9102634191513062,-11.769,0.9710590243339539,3.044,0.585669239996786,-5.392000198364258,-1.535589337348938
1630482546.9910219,0.531000018119812,-5.78956413269043,-2.938049554824829,-11.962,1.896723985671997,2.64,0.583614004746265,-5.6479997634887695,-1.660691738128662
1630482547.0062144,0.5370000004768372,-5.910295486450195,-3.983875036239624,-12.097,2.5279929637908936,2.094,0.583614004746265,-5.6479997634887695,-2.0222527980804443
1630482547.0216103,0.5360000133514404,-6.02519416809082,-5.574189186096191,-12.212,3.598167657852173,1.439,0.581605178587036,-5.9039998054504395,-3.253077268600464
1630482547.0380445,0.5360000133514404,-6.134146690368652,-6.703795433044434,-12.123,4.3483476638793945,0.669,0.581605178587036,-5.9039998054504395,-5.574189186096191
1630482547.0539224,0.5379999876022339,-6.237045764923096,-7.601552963256836,-11.926,5.815256118774414,-0.204,0.581605178587036,-6.127999782562256,-6.136106491088867
1630482547.0699124,0.5419999957084656,-6.333789348602295,-8.0,-11.838,6.434325695037842,-1.152,0.5803760058740963,-6.127999782562256,-7.506864070892334
1630482547.0863461,0.5460000038146973,-6.424282550811768,-8.0,-11.835,7.353747844696045,-2.091,0.5803760058740963,-6.320000171661377,-8.0
1630482547.1021664,0.5490000247955322,-6.508435249328613,-8.0,-11.839,7.590653419494629,-2.886,0.5803760058740963,-6.415999889373779,-8.0
1630482547.118643,0.5519999861717224,-6.586165428161621,-8.0,-11.972,7.880277633666992,-3.397,0.5804174442161565,-6.495999813079834,-8.0
1630482547.1352692,0.5540000200271606,-6.657395839691162,-8.0,-12.034,7.40027379989624,-3.534,0.5804174442161565,-6.495999813079834,-8.0
1630482547.1503544,0.5559999942779541,-6.722055912017822,-8.0,-11.945,6.961165428161621,-3.314,0.5804174442161565,-6.576000213623047,-8.0
1630482547.1662269,0.5580000281333923,-6.7800822257995605,-8.0,-11.891,6.528429985046387,-2.829,0.5811089719433629,-6.656000137329102,-8.0
1630482547.1820192,0.5569999814033508,-6.831417560577393,-7.352066516876221,-11.891,5.675619125366211,-2.212,0.5811089719433629,-6.71999979019165,-8.0
1630482547.197481,0.5559999942779541,-6.876010894775391,-7.255944728851318,-11.822,5.45545768737793,-1.59,0.5816088682137714,-6.76800012588501,-8.0
1630482547.2133718,0.5559999942779541,-6.913818359375,-6.7311882972717285,-12.235,5.176217079162598,-1.047,0.5816088682137714,-6.863999843597412,-7.035813331604004
1630482547.2286432,0.5550000071525574,-6.944802761077881,-6.572279453277588,-12.783,4.9651947021484375,-0.677,0.5816088682137714,-6.863999843597412,-7.06825590133667
1630482547.2451823,0.5540000200271606,-6.968933582305908,-6.521484375,-12.495,4.798788070678711,-0.371,0.58157323914511,-6.9120001792907715,-6.731189250946045
1630482547.2604024,0.5529999732971191,-6.986186981201172,-6.719323635101318,-11.8,4.91239595413208,-0.272,0.58157323914511,-6.960000038146973,-6.502818584442139
1630482547.2770946,0.5519999861717224,-6.996545791625977,-7.278759002685547,-11.308,5.0317792892456055,-0.299,0.58157323914511,-6.97599983215332,-6.502818584442139
1630482547.2924583,0.5529999732971191,-7.0,-8.0,-10.791,5.228882789611816,-0.444,0.5811940594156422,-6.97599983215332,-6.568714618682861
1630482547.308738,0.5540000200271606,-6.996545791625977,-8.0,-9.677,5.595828533172607,-0.675,0.5809565415058753,-6.992000102996826,-8.0
1630482547.3245392,0.5550000071525574,-6.986186981201172,-8.0,-8.279,5.689826965332031,-0.973,0.5809565415058753,-6.992000102996826,-8.0
1630482547.3405323,0.5559999942779541,-6.968933582305908,-8.0,-6.502,6.3817830085754395,-1.313,0.5809565415058753,-6.97599983215332,-8.0
1630482547.3562946,0.5569999814033508,-6.944802761077881,-8.0,-4.603,6.594258785247803,-1.705,0.5806248496408652,-6.97599983215332,-8.0
1630482547.372021,0.5580000281333923,-6.913818359375,-8.0,-2.249,6.898923873901367,-2.17,0.5806248496408652,-6.960000038146973,-8.0
1630482547.3873403,0.5590000152587891,-6.876010894775391,-8.0,0.016,7.013356685638428,-2.688,0.5806248496408652,-6.943999767303467,-8.0
1630482547.403205,0.5609999895095825,-6.831417560577393,-8.0,1.998,6.862909317016602,-3.14,0.58072487364676,-6.9120001792907715,-8.0
1630482547.4205947,0.5619999766349792,-6.7800822257995605,-7.854655742645264,3.18,6.798827648162842,-3.349,0.58072487364676,-6.863999843597412,-8.0
1630482547.434933,0.5619999766349792,-6.722055912017822,-7.56196928024292,4.384,6.374619483947754,-3.322,0.58072487364676,-6.815999984741211,-8.0
1630482547.4506164,0.5619999766349792,-6.657395839691162,-7.472558975219727,4.918,6.17970085144043,-2.982,0.5809189467858416,-6.76800012588501,-8.0
1630482547.4672575,0.5619999766349792,-6.586165428161621,-7.341554641723633,5.255,5.524741172790527,-2.424,0.5809189467858416,-6.656000137329102,-7.48805046081543
1630482547.4831488,0.5609999895095825,-6.508435249328613,-6.189831256866455,5.299,5.237127304077148,-1.952,0.5809189467858416,-6.656000137329102,-7.45634651184082
1630482547.499139,0.5619999766349792,-6.424282550811768,-5.538976669311523,5.396,4.7352142333984375,-1.578,0.5812656556301937,-6.576000213623047,-6.8766374588012695
1630482547.515511,0.5609999895095825,-6.333789348602295,-6.169965744018555,5.611,4.47300386428833,-1.28,0.5812656556301937,-6.415999889373779,-6.0966877937316895
1630482547.5312755,0.5600000023841858,-6.237045764923096,-6.3335041999816895,5.867,3.7394156455993652,-1.001,0.5812656556301937,-6.415999889373779,-6.075082778930664
1630482547.5472527,0.5600000023841858,-6.134146690368652,-5.182557106018066,6.261,3.3994171619415283,-0.685,0.5821100726408766,-6.320000171661377,-6.282330513000488
1630482547.5630493,0.5669999718666077,-6.02519416809082,-3.9624722003936768,6.734,2.318312644958496,-0.325,0.5824089084912338,-6.223999977111816,-5.424642562866211
1630482547.579048,0.5759999752044678,-5.910295486450195,-3.545762300491333,7.287,1.7542792558670044,0.04,0.5824089084912338,-6.127999782562256,-4.652376174926758
1630482547.5940979,0.5889999866485596,-5.78956413269043,-2.9314422607421875,7.962,1.0138002634048462,0.517,0.5833039023115869,-6.015999794006348,-3.9624719619750977
1630482547.6109998,0.6079999804496765,-5.663118839263916,-2.319851875305176,8.634,0.6341723799705505,1.03,0.5833039023115869,-5.776000022888184,-3.3427441120147705
1630482547.624975,0.6259999871253967,-5.531085014343262,-2.17592453956604,9.373,0.14904814958572388,1.486,0.5833039023115869,-5.6479997634887695,-2.89683198928833
1630482547.6411383,0.6480000019073486,-5.393592834472656,-1.7664210796356201,10.029,-0.808711051940918,2.048,0.5846772129250253,-5.6479997634887695,-2.219799518585205
1630482547.6562488,0.671999990940094,-5.250777721405029,-1.4392166137695312,10.458,-1.2368899583816528,2.449,0.5846772129250253,-5.392000198364258,-2.148986339569092
1630482547.6721926,0.6970000267028809,-5.102780342102051,-1.2571065425872803,10.844,-1.8133095502853394,2.862,0.5846772129250253,-5.392000198364258,-1.5608997344970703
1630482547.6876104,0.7210000157356262,-4.949747562408447,-1.1131027936935425,11.242,-2.0178959369659424,3.233,0.5867652255721406,-5.248000144958496,-1.2726858854293823
1630482547.7044098,0.7459999918937683,-4.791829586029053,-0.9355029463768005,11.864,-2.5501646995544434,3.562,0.5867652255721406,-4.943999767303467,-1.0854434967041016
1630482547.719879,0.7710000276565552,-4.629183292388916,-0.7424942255020142,12.564,-2.883641242980957,3.861,0.5867652255721406,-4.783999919891357,-1.0854434967041016
1630482547.7362323,0.7979999780654907,-4.461967945098877,-0.3760470449924469,13.005,-3.2046186923980713,4.122,0.5882245228246146,-4.624000072479248,-0.8384218811988831
1630482547.7520235,0.8289999961853027,-4.29034948348999,-0.0,13.243,-3.576688289642334,4.343,0.5884103576662634,-4.624000072479248,-0.6528711915016174
