Time,ms_error,force_desired,force_event,force_weiss,force_robot,force_weiss2,delta_z,desire_ar,sense_ar
1630244919.2602773,0.0,-4.11449670791626,-1.0559697151184082,0.539,-2.581050157546997,-0.637,0.5874268902398323,-3.1679999828338623,-1.0539379119873047
1630244919.2745712,0.06499999761581421,-4.29034948348999,-1.0574448108673096,0.686,-2.581050157546997,-0.628,0.5874276643328885,-3.1679999828338623,-1.0539379119873047
1630244919.2888474,0.13600000739097595,-4.461967945098877,-1.0579522848129272,0.762,-2.581050157546997,-0.623,0.5874276643328885,-3.1679999828338623,-1.0539379119873047
1630244919.303585,0.21299999952316284,-4.629183292388916,-1.0581575632095337,0.798,-2.5767157077789307,-0.629,0.5874276643328885,-3.552000045776367,-1.0572330951690674
1630244919.3224297,0.296999990940094,-4.791829586029053,-1.0582188367843628,0.885,-2.5767157077789307,-0.637,0.5874279930671007,-3.552000045776367,-1.0572330951690674
1630244919.332996,0.3869999945163727,-4.949747562408447,-1.0582433938980103,0.904,-2.56974458694458,-0.638,0.5874279930671007,-3.9200000762939453,-1.0569013357162476
1630244919.3476026,0.48399999737739563,-5.102780342102051,-1.0543268918991089,0.827,-2.56974458694458,-0.639,0.5874279930671007,-3.9200000762939453,-1.0569013357162476
1630244919.3618877,0.5860000252723694,-5.250777721405029,-1.0539436340332031,0.723,-2.5640037059783936,-0.644,0.5874281961232879,-4.447999954223633,-1.0559698343276978
1630244919.3770683,0.6949999928474426,-5.393592834472656,-1.0535577535629272,0.744,-2.5640037059783936,-0.648,0.5874281961232879,-4.447999954223633,-1.0559698343276978
1630244919.391048,0.8090000152587891,-5.531085014343262,-1.0539064407348633,0.873,-2.5640037059783936,-0.654,0.5874281961232879,-4.447999954223633,-1.0559698343276978
1630244919.405428,0.9290000200271606,-5.663118839263916,-1.0565158128738403,0.988,-2.5503764152526855,-0.656,0.5874287881484117,-4.783999919891357,-1.0580568313598633
1630244919.4200773,1.0549999475479126,-5.78956413269043,-1.0576075315475464,1.039,-2.5503764152526855,-0.671,0.5874287881484117,-4.783999919891357,-1.0580568313598633
1630244919.4346817,1.1859999895095825,-5.910295486450195,-1.0560654401779175,1.01,-2.558396100997925,-0.687,0.5874287881484117,-5.0879998207092285,-1.058234691619873
