Time,ms_error,force_desired,force_event,force_weiss,force_robot,force_weiss2,delta_z,desire_ar,sense_ar
1630244393.957359,0.0,-4.11449670791626,-0.0,8.184,-3.1449875831604004,-0.536,0.5895907510110998,0.0,0.0
1630244393.9718726,0.11400000005960464,-4.29034948348999,-0.0,8.119,-3.1238043308258057,-0.725,0.5895894816159309,0.0,0.0
1630244393.9861774,0.2370000034570694,-4.461967945098877,-0.0,8.13,-3.1238043308258057,-0.749,0.5895894816159309,0.0,0.0
1630244394.0002697,0.367000013589859,-4.629183292388916,-0.0,8.141,-3.063739061355591,-0.638,0.5895894816159309,0.0,0.0
1630244394.0154436,0.5040000081062317,-4.791829586029053,-0.0,8.127,-3.063739061355591,-0.48,0.5895833618159818,0.0,0.0
1630244394.0297723,0.6499999761581421,-4.949747562408447,-0.0,8.173,-3.063739061355591,-0.272,0.5895833618159818,0.0,0.0
1630244394.0437462,0.8029999732971191,-5.102780342102051,-0.0,8.209,-3.0626375675201416,-0.123,0.5895833618159818,0.0,0.0
1630244394.05816,0.9629999995231628,-5.250777721405029,-0.0,8.271,-3.0626375675201416,-0.052,0.5895839040383426,0.0,0.0
1630244394.0720901,1.1299999952316284,-5.393592834472656,-0.0,8.321,-3.038100004196167,0.017,0.5895839040383426,0.0,0.0
1630244394.0869863,1.3049999475479126,-5.531085014343262,-0.0,8.3,-3.038100004196167,0.065,0.5895839040383426,0.0,0.0
1630244394.1013694,1.4859999418258667,-5.663118839263916,-0.0,8.305,-3.032578468322754,0.107,0.5895832669372916,0.0,0.0
1630244394.1168945,1.6729999780654907,-5.78956413269043,-0.0,8.244,-3.032578468322754,0.114,0.5895832669372916,0.0,0.0
1630244394.1319444,1.8660000562667847,-5.910295486450195,-0.0,8.193,-3.0600054264068604,0.111,0.5895832669372916,0.0,0.0
1630244394.1467605,2.065000057220459,-6.02519416809082,-0.0,8.344,-3.0600054264068604,0.093,0.5895782920666873,0.0,0.0
1630244394.1615207,2.2699999809265137,-6.134146690368652,-0.0,8.537,-3.0600054264068604,0.07,0.5895782920666873,0.0,0.0
1630244394.1773703,2.4790000915527344,-6.237045764923096,-0.0,8.592,-3.0139105319976807,0.048,0.5895791228079462,0.0,0.0
1630244394.1910472,2.693000078201294,-6.333789348602295,-0.0,8.551,-3.0139105319976807,0.007,0.5895791228079462,0.0,0.0
1630244394.2032208,2.9110000133514404,-6.424282550811768,-0.0,8.444,-3.039513111114502,-0.001,0.5895791228079462,0.0,0.0
1630244394.2173529,3.132999897003174,-6.508435249328613,-0.0,8.391,-3.039513111114502,-0.208,0.5895743010503809,0.0,0.0
1630244394.2327447,3.3570001125335693,-6.586165428161621,-0.0,8.422,-3.039513111114502,-0.425,0.5895743010503809,0.0,0.0
1630244394.2486,3.5850000381469727,-6.657395839691162,-0.0,8.474,-3.0336101055145264,-0.602,0.5895743010503809,0.0,0.0
1630244394.2614694,3.815000057220459,-6.722055912017822,-0.0,8.541,-3.0336101055145264,-0.67,0.5895769276817715,0.0,0.0
1630244394.2750907,4.046000003814697,-6.7800822257995605,-0.0,8.603,-3.037951707839966,-0.597,0.5895769276817715,0.0,0.0
1630244394.289544,4.2789998054504395,-6.831417560577393,-0.0,8.574,-3.037951707839966,-0.369,0.5895769276817715,0.0,0.0
1630244394.3040307,4.513000011444092,-6.876010894775391,-0.0,8.558,-3.0394070148468018,-0.135,0.5895738905525711,0.0,0.0
1630244394.3198245,4.747000217437744,-6.913818359375,-0.0,8.701,-3.0394070148468018,0.013,0.5895738905525711,0.0,0.0
1630244394.3347926,4.980999946594238,-6.944802761077881,-0.0,8.748,-3.0394070148468018,0.167,0.5895738905525711,0.0,0.0
1630244394.349788,5.214000225067139,-6.968933582305908,-0.0,8.671,-3.0315563678741455,0.18,0.5895720991634823,0.0,0.0
1630244394.3645146,5.446000099182129,-6.986186981201172,-0.0,8.71,-3.0315563678741455,0.153,0.5895720991634823,0.0,0.0
1630244394.3793118,5.676000118255615,-6.996545791625977,-0.0,8.768,-3.0392367839813232,0.122,0.5895720991634823,0.0,0.0
1630244394.3943279,5.9039998054504395,-7.0,-0.0,8.693,-3.0392367839813232,0.108,0.5895696673619472,0.0,0.0
1630244394.4091845,6.129000186920166,6.996545791625977,-0.0,8.664,-3.0346617698669434,0.125,0.5895712527560264,0.0,0.0
1630244394.4245024,6.3520002365112305,6.986186981201172,-0.0,8.692,-3.0346617698669434,0.162,0.5895712527560264,0.0,0.0
1630244394.4393988,6.570000171661377,6.968933582305908,-0.0,8.587,-3.0459816455841064,0.196,0.5895712527560264,0.0,0.0
1630244394.4542031,6.784999847412109,6.944802761077881,-0.0,8.533,-3.0459816455841064,0.208,0.5895693668356277,0.0,0.0
1630244394.4693806,6.994999885559082,6.913818359375,-0.0,8.659,-3.0459816455841064,0.196,0.5895693668356277,0.0,0.0
1630244394.4866104,7.201000213623047,6.876010894775391,-0.0,8.692,-3.053595781326294,0.165,0.5895693668356277,0.0,0.0
1630244394.5002763,7.401000022888184,6.831417560577393,-0.0,8.584,-3.053595781326294,0.165,0.5895686822341727,0.0,0.0
1630244394.5153363,7.5960001945495605,6.7800822257995605,-0.0,8.573,-3.0519418716430664,-0.212,0.5895686822341727,0.0,0.0
1630244394.5303793,7.784999847412109,6.722055912017822,-0.0,8.633,-3.0519418716430664,-0.483,0.5895686822341727,0.0,0.0
1630244394.5453005,7.9679999351501465,6.657395839691162,-0.0,8.633,-3.047212600708008,-0.609,0.5895697030265833,0.0,0.0
1630244394.5611885,8.144000053405762,6.586165428161621,-0.0,8.654,-3.047212600708008,-0.618,0.5895697030265833,0.0,0.0
1630244394.5753107,8.312999725341797,6.508435249328613,-0.0,8.349,-3.040424346923828,-0.505,0.5895697030265833,0.0,0.0
1630244394.5899763,8.47599983215332,6.424282550811768,-0.0,7.772,-3.040424346923828,-0.315,0.5895698051413325,0.0,0.0
1630244394.6048484,8.630999565124512,6.333789348602295,-0.0,7.727,-3.040424346923828,-0.158,0.5895698051413325,0.0,0.0
1630244394.6196513,8.777999877929688,6.237045764923096,-0.0,8.266,-3.042466163635254,-0.031,0.5895698051413325,0.0,0.0
1630244394.6347108,8.918000221252441,6.134146690368652,-0.0,8.558,-3.042466163635254,0.038,0.5895686195739198,0.0,0.0
1630244394.6495788,9.050999641418457,6.02519416809082,-0.0,8.479,-3.0393168926239014,0.09,0.5895674629050319,0.0,0.0
1630244394.6671808,9.175000190734863,5.910295486450195,-0.0,8.427,-3.0393168926239014,0.135,0.5895674629050319,0.0,0.0
1630244394.680026,9.291999816894531,5.78956413269043,-0.0,8.52,-3.0543408393859863,0.152,0.5895674629050319,0.0,0.0
1630244394.6953335,9.399999618530273,5.663118839263916,-0.0,8.547,-3.0543408393859863,0.162,0.5895654430535711,0.0,0.0
1630244394.70928,9.50100040435791,5.531085014343262,-0.0,8.474,-3.0543408393859863,0.17,0.5895654430535711,0.0,0.0
1630244394.7240322,9.593000411987305,5.393592834472656,-0.0,8.407,-3.040105104446411,0.171,0.5895654430535711,0.0,0.0
1630244394.7390392,9.677000045776367,5.250777721405029,-0.0,8.466,-3.040105104446411,0.164,0.58956755445531,0.0,0.0
1630244394.7540975,9.753999710083008,5.102780342102051,-0.0,8.645,-3.0478813648223877,0.152,0.58956755445531,0.0,0.0
1630244394.7706006,9.821999549865723,4.949747562408447,-0.0,8.514,-3.0478813648223877,0.133,0.58956755445531,0.0,0.0
1630244394.7836008,9.883000373840332,4.791829586029053,-0.0,8.328,-3.049006462097168,0.121,0.5895651745760093,0.0,0.0
1630244394.8005605,9.935999870300293,4.629183292388916,-0.0,8.233,-3.049006462097168,-0.185,0.5895651745760093,0.0,0.0
1630244394.8133135,9.982000350952148,4.461967945098877,-0.0,8.215,-3.0549352169036865,-0.376,0.5895651745760093,0.0,0.0
1630244394.8278203,10.020999908447266,4.29034948348999,-0.0,8.291,-3.0549352169036865,-0.598,0.5895660321968696,0.0,0.0
1630244394.8424418,10.052000045776367,4.11449670791626,-0.0,8.411,-3.0549352169036865,-0.668,0.5895660321968696,0.0,0.0
1630244394.8562741,10.07699966430664,3.9345836639404297,-0.0,8.472,-3.051039457321167,-0.592,0.5895660321968696,0.0,0.0
1630244394.8712976,10.095000267028809,3.7507874965667725,-0.0,8.326,-3.051039457321167,-0.396,0.589566289311759,0.0,0.0
1630244394.886371,10.105999946594238,3.5632898807525635,-0.0,8.231,-3.0282514095306396,-0.138,0.5895645992904424,0.0,0.0
1630244394.9012153,10.112000465393066,3.3722758293151855,-0.0,8.166,-3.0282514095306396,0.044,0.5895645992904424,0.0,0.0
1630244394.9160073,10.112000465393066,3.17793345451355,-0.0,8.14,-3.0208892822265625,0.151,0.5895645992904424,0.0,0.0
1630244394.9325762,10.105999946594238,2.980455160140991,-0.0,8.12,-3.0208892822265625,0.178,0.5895672109402152,0.0,0.0
1630244394.945766,10.095999717712402,2.7800352573394775,-0.0,8.045,-3.0208892822265625,0.183,0.5895672109402152,0.0,0.0
1630244394.9607043,10.081000328063965,2.576871871948242,-0.0,8.035,-3.023210287094116,0.18,0.5895672109402152,0.0,0.0
1630244394.9753656,10.060999870300293,2.3711655139923096,-0.0,8.035,-3.023210287094116,0.182,0.5895651484647968,0.0,0.0
1630244394.989921,10.038000106811523,2.163119077682495,-0.0,7.986,-3.0304555892944336,0.189,0.5895651484647968,0.0,0.0
1630244395.0048227,10.01099967956543,1.9529377222061157,-0.0,7.939,-3.0304555892944336,0.197,0.5895651484647968,0.0,0.0
1630244395.0195193,9.980999946594238,1.7408292293548584,-0.0,7.993,-3.0447282791137695,0.196,0.5895649018033696,0.0,0.0
1630244395.0349433,9.947999954223633,1.5270026922225952,-0.0,8.114,-3.0447282791137695,0.176,0.5895649018033696,0.0,0.0
1630244395.0497153,9.913000106811523,1.3116692304611206,-0.0,8.101,-3.0411570072174072,0.159,0.5895649018033696,0.0,0.0
1630244395.064781,9.87600040435791,1.095041275024414,-0.0,8.044,-3.0411570072174072,0.133,0.5895640284773176,0.0,0.0
1630244395.079557,9.836999893188477,0.8773326277732849,-0.0,8.084,-3.0411570072174072,0.133,0.5895640284773176,0.0,0.0
1630244395.0945563,9.79800033569336,0.6587581634521484,-0.0,8.104,-3.0520756244659424,-0.292,0.5895640284773176,0.0,0.0
1630244395.1088586,9.756999969482422,0.43953365087509155,-0.0,8.089,-3.0520756244659424,-0.545,0.5895647243540114,0.0,0.0
1630244395.1238286,9.717000007629395,0.21987532079219818,-0.0,8.136,-3.046081066131592,-0.749,0.5895631008895561,0.0,0.0
1630244395.1390328,9.675999641418457,3.4290110813593516e-15,-0.0,8.102,-3.046081066131592,-0.76,0.5895631008895561,0.0,0.0
