Time,ms_error,force_desired,force_event,force_weiss,force_robot,force_weiss2,delta_z,desire_ar,sense_ar
1630321238.3995576,5.215000152587891,-0.21987532079219818,-0.0,-0.725,-3.1175014972686768,0.297,0.5799089963549777,0.0,-0.0
1630321238.4145627,5.204999923706055,-0.43953365087509155,-0.0,-0.725,-3.1282753944396973,0.297,0.5799089963549777,0.0,-0.0
1630321238.4294853,5.195000171661377,-0.6587581634521484,-0.0,-0.719,-3.1290392875671387,0.305,0.5799019269273543,-0.20800000429153442,-0.0
1630321238.4444168,5.185999870300293,-0.8773326277732849,-0.0,-0.944,-3.123192310333252,0.307,0.5799019269273543,-0.656000018119812,-0.0
1630321238.4594367,5.177999973297119,-1.095041275024414,-0.0,-1.547,-3.1056697368621826,0.3,0.5799019269273543,-0.8640000224113464,-0.0
1630321238.4751186,5.171999931335449,-1.3116692304611206,-0.0,-1.722,-3.10274600982666,0.295,0.5798917856650638,-1.0880000591278076,-0.0
1630321238.5041003,5.165999889373779,-1.5270026922225952,-0.0,-0.422,-3.16550874710083,0.302,0.5798908590296499,-1.2960000038146973,-0.0
1630321238.5193763,5.1620001792907715,-1.7408292293548584,-0.0,-0.364,-3.1321187019348145,0.307,0.5798908590296499,-1.2960000038146973,-0.0
1630321238.5354712,5.158999919891357,-1.9529377222061157,-0.0,-0.382,-3.0877573490142822,0.298,0.5798508755494984,-1.7280000448226929,-0.0
1630321238.5511122,5.1579999923706055,-2.163119077682495,-0.0,-0.312,-2.8679351806640625,0.287,0.5798508755494984,-1.7280000448226929,-0.0
1630321238.5665271,5.158999919891357,-2.3711655139923096,-0.0,-0.234,-2.9940967559814453,0.284,0.5798508755494984,-1.9520000219345093,-0.0
1630321238.5811663,5.1620001792907715,-2.576871871948242,-0.0,-0.123,-3.1551826000213623,0.284,0.5796618425568714,-2.1600000858306885,-0.0
1630321238.5960653,5.166999816894531,-2.7800352573394775,-0.0,-0.027,-3.023846387863159,0.292,0.5796618425568714,-2.368000030517578,-0.0
1630321238.610438,5.173999786376953,-2.980455160140991,-0.0,-0.016,-2.905470848083496,0.303,0.5796618425568714,-2.7679998874664307,-0.0
1630321238.6261709,5.184000015258789,-3.17793345451355,-0.0,0.065,-2.8841917514801025,0.307,0.5794189818635804,-2.7679998874664307,-0.0
1630321238.641316,5.196000099182129,-3.3722758293151855,-0.0,0.29,-2.922973394393921,0.307,0.5794189818635804,-2.9760000705718994,-0.0
1630321238.6567986,5.210000038146973,-3.5632898807525635,-0.0,0.481,-2.7586233615875244,0.304,0.5794189818635804,-3.1679999828338623,-0.0
1630321238.6714773,5.2270002365112305,-3.7507874965667725,-0.0,0.489,-2.9986793994903564,0.297,0.5792083280747082,-3.359999895095825,-0.0
1630321238.6907558,5.247000217437744,-3.9345836639404297,-0.0,0.521,-2.9237985610961914,0.277,0.5792083280747082,-3.74399995803833,-0.0
1630321238.7027752,5.269999980926514,-4.11449670791626,-0.0,0.415,-2.924088954925537,0.262,0.5792083280747082,-3.74399995803833,-0.0
1630321238.7177892,5.295000076293945,-4.29034948348999,-0.0,0.047,-2.8164725303649902,0.266,0.5791420888767628,-4.111999988555908,-0.0
1630321238.7328367,5.322999954223633,-4.461967945098877,-0.0,-0.545,-2.828657627105713,0.294,0.5791423579884067,-4.111999988555908,-0.0
1630321238.7483585,5.354000091552734,-4.629183292388916,-0.0,-1.433,-2.9131860733032227,0.332,0.5791423579884067,-4.447999954223633,-0.0
1630321238.767075,5.38700008392334,-4.791829586029053,-0.0,-1.892,-2.945974111557007,0.378,0.5791423579884067,-4.447999954223633,-0.0
1630321238.778862,5.423999786376953,-4.949747562408447,-0.0,-1.664,-2.981858015060425,0.363,0.5791389175090649,-4.783999919891357,-0.0
1630321238.7933722,5.4629998207092285,-5.102780342102051,-0.0,-1.34,-2.9863059520721436,0.363,0.5791389175090649,-4.783999919891357,-0.0
1630321238.8087838,5.505000114440918,-5.250777721405029,-0.0,-1.474,-2.938694715499878,0.01,0.5791389175090649,-5.0879998207092285,-0.0
1630321238.8235643,5.548999786376953,-5.393592834472656,-0.0,-1.726,-2.9559028148651123,-0.236,0.5791301809462635,-5.248000144958496,-0.0
1630321238.838592,5.5970001220703125,-5.531085014343262,-0.0,-2.057,-2.928948163986206,-0.446,0.5791301809462635,-5.248000144958496,-0.0
1630321238.853538,5.646999835968018,-5.663118839263916,-0.0,-2.338,-2.914931058883667,-0.485,0.5791301809462635,-5.519999980926514,-0.0
1630321238.8687212,5.698999881744385,-5.78956413269043,-0.0,-2.462,-2.9206831455230713,-0.349,0.579083558049124,-5.519999980926514,-0.0
1630321238.883629,5.754000186920166,-5.910295486450195,-0.0,-2.574,-2.767634153366089,-0.132,0.579083558049124,-5.6479997634887695,-0.0
1630321238.8992465,5.810999870300293,-6.02519416809082,-0.0,-2.71,-2.7080042362213135,0.104,0.579083558049124,-5.776000022888184,-0.0
1630321238.9135137,5.870999813079834,-6.134146690368652,-0.0,-2.754,-2.8976757526397705,0.248,0.5788228674374095,-5.9039998054504395,-0.0
1630321238.9286687,5.933000087738037,-6.237045764923096,-0.0,-2.828,-2.826306104660034,0.316,0.5788228674374095,-6.127999782562256,-0.0
1630321238.9426491,5.997000217437744,-6.333789348602295,-0.0,-2.956,-2.809206962585449,0.327,0.5788228674374095,-6.223999977111816,-0.0
1630321238.9575872,6.061999797821045,-6.424282550811768,-0.0,-3.097,-2.6820991039276123,0.317,0.5781178400959899,-6.320000171661377,-0.0
1630321238.972655,6.130000114440918,-6.508435249328613,-0.0,-3.212,-2.639580249786377,0.291,0.5778833528080274,-6.320000171661377,-0.0
1630321238.9876997,6.198999881744385,-6.586165428161621,-0.0,-3.212,-2.5181446075439453,0.261,0.5778833528080274,-6.415999889373779,-0.0
1630321239.003438,6.269000053405762,-6.657395839691162,-0.0,-3.369,-2.538774013519287,0.21,0.5778833528080274,-6.495999813079834,-0.0
1630321239.0187974,6.341000080108643,-6.722055912017822,-0.0,-3.641,-2.2335143089294434,0.129,0.5766416101455486,-6.576000213623047,-0.0
1630321239.033276,6.4029998779296875,-6.7800822257995605,-0.46891695261001587,-4.318,-2.084404468536377,0.015,0.5766416101455486,-6.656000137329102,-0.0
1630321239.048886,6.460999965667725,-6.831417560577393,-0.6810564994812012,-4.916,-1.7244433164596558,-0.158,0.5766416101455486,-6.71999979019165,-0.0
1630321239.0636156,6.511000156402588,-6.876010894775391,-1.056460976600647,-4.719,-1.369297981262207,-0.337,0.574902133128093,-6.815999984741211,-0.6207021474838257
1630321239.0784397,6.559999942779541,-6.913818359375,-1.1530687808990479,-4.398,-0.8695687651634216,-0.536,0.574902133128093,-6.863999843597412,-0.8634439706802368
1630321239.0932107,6.60699987411499,-6.944802761077881,-1.3004823923110962,-4.438,-0.25930365920066833,-0.817,0.574902133128093,-6.863999843597412,-1.1377421617507935
1630321239.1085024,6.650000095367432,-6.968933582305908,-1.471757173538208,-4.599,0.23643670976161957,-1.122,0.5729722903966833,-6.943999767303467,-1.2157021760940552
1630321239.1236851,6.684999942779541,-6.986186981201172,-1.8951175212860107,-4.828,0.7440437078475952,-1.564,0.5729722903966833,-6.943999767303467,-1.446006417274475
1630321239.1394649,6.704999923706055,-6.996545791625977,-2.797553062438965,-5.031,1.4794893264770508,-2.053,0.5729722903966833,-6.960000038146973,-1.446006417274475
1630321239.1546648,6.716000080108643,-7.0,-3.4442152976989746,-5.143,1.8734127283096313,-2.57,0.5713139421058279,-6.97599983215332,-1.6236978769302368
1630321239.1702242,6.716000080108643,-6.996545791625977,-4.343469619750977,-5.183,2.7156484127044678,-3.013,0.5713139421058279,-6.992000102996826,-3.540800094604492
1630321239.1853144,6.705999851226807,-6.986186981201172,-6.03995418548584,-5.178,2.9514167308807373,-3.511,0.5702663767797017,-6.992000102996826,-3.540800094604492
1630321239.2006502,6.693999767303467,-6.968933582305908,-6.767341136932373,-5.094,3.5579051971435547,-4.0,0.5702663767797017,-6.97599983215332,-5.360114574432373
