error,mode,mode2
1.557,novibro,graph
1.929,novibro,graph
3.387,novibro,graph
1.597,novibro,graph
2.146,novibro,graph
1.495,novibro,graph
2.219,novibro,graph
1.715,novibro,graph
1.637,novibro,graph
1.708,novibro,graph
1.54,novibro,graph
3.871,novibro,graph
2.214,novibro,graph
2.252,novibro,graph
1.587,novibro,graph
1.769,novibro,graph
2.245,novibro,graph
2.137,novibro,graph
2.243,novibro,graph
1.523,novibro,graph
1.788,novibro,graph
3.221,novibro,graph
2.219,novibro,graph
1.738,novibro,graph
2.101,novibro,graph
1.493,novibro,graph
2.407,novibro,graph
2.261,novibro,graph
1.693,novibro,graph
1.505,novibro,graph
1.345,novibro,graph
1.431,novibro,graph
1.832,novibro,graph
1.34,novibro,graph
1.568,novibro,graph
1.568,novibro,graph
1.893,novibro,graph
1.736,novibro,graph
2.418,novibro,graph
1.247,novibro,graph
0.996,novibro,graph
1.935,novibro,graph
2.9,novibro,graph
2.109,novibro,graph
1.588,novibro,graph
1.317,novibro,graph
2.234,novibro,graph
2.612,novibro,graph
2.248,novibro,graph
2.368,novibro,graph
1.828,novibro,graph
2.755,novibro,graph
2.528,novibro,graph
1.57,novibro,graph
1.933,novibro,graph
2.208,novibro,graph
1.743,novibro,graph
2.064,novibro,graph
2.033,novibro,graph
1.764,novibro,graph
2.365,novibro,graph
2.331,novibro,graph
2.926,novibro,graph
1.229,novibro,graph
1.468,novibro,graph
1.305,novibro,graph
2.426,novibro,graph
1.464,novibro,graph
1.669,novibro,graph
1.577,novibro,graph
1.898,novibro,graph
1.89,novibro,graph
2.679,novibro,graph
1.778,novibro,graph
2.054,novibro,graph
1.424,novibro,graph
1.855,novibro,graph
2.171,novibro,graph
1.424,novibro,graph
1.632,novibro,graph
2.417,novibro,graph
2.241,novibro,graph
1.916,novibro,graph
1.474,novibro,graph
1.382,novibro,graph
1.688,novibro,graph
1.836,novibro,graph
1.526,novibro,graph
1.682,novibro,graph
1.58,novibro,graph
3.219,novibro,graph
2.431,novibro,graph
1.703,novibro,graph
1.436,novibro,graph
2.114,novibro,graph
1.24,novibro,graph
1.98,novibro,graph
1.811,novibro,graph
2.147,novibro,graph
1.48,novibro,graph
1.461,novibro,graph
3.091,novibro,graph
1.908,novibro,graph
1.501,novibro,graph
2.269,novibro,graph
1.446,novibro,graph
2.15,novibro,graph
1.95,novibro,graph
1.752,novibro,graph
1.613,novibro,graph
1.095,novibro,graph
3.996,novibro,graph
2.728,novibro,graph
1.452,novibro,graph
1.988,novibro,graph
1.748,novibro,graph
1.75,novibro,graph
2.502,novibro,graph
2.094,novibro,graph
1.631,novibro,graph
0.92,novibro,graph
1.568,novibro,graph
1.946,novibro,graph
1.447,novibro,graph
2.63,novibro,graph
1.526,novibro,graph
1.421,novibro,graph
2.554,novibro,graph
2.102,novibro,graph
1.463,novibro,graph
1.154,novibro,graph
1.597,novibro,graph
1.785,novibro,graph
1.28,novibro,graph
2.19,novibro,graph
1.202,novibro,graph
1.838,novibro,graph
1.548,novibro,graph
2.592,novibro,graph
1.56,novibro,graph
0.956,novibro,graph
2.386,novibro,graph
3.326,novibro,graph
1.066,novibro,graph
1.802,novibro,graph
1.213,novibro,graph
2.219,novibro,graph
2.194,novibro,graph
2.616,novibro,graph
2.44,novibro,graph
2.568,vibro,graph
1.838,vibro,graph
2.09,vibro,graph
1.95,vibro,graph
3.099,vibro,graph
2.489,vibro,graph
1.891,vibro,graph
1.848,vibro,graph
2.899,vibro,graph
1.638,vibro,graph
1.587,vibro,graph
1.672,vibro,graph
1.538,vibro,graph
1.897,vibro,graph
2.897,vibro,graph
2.215,vibro,graph
1.286,vibro,graph
2.322,vibro,graph
2.463,vibro,graph
1.832,vibro,graph
1.541,vibro,graph
1.816,vibro,graph
1.25,vibro,graph
1.189,vibro,graph
2.483,vibro,graph
1.41,vibro,graph
2.102,vibro,graph
2.049,vibro,graph
1.888,vibro,graph
1.588,vibro,graph
2.162,vibro,graph
2.355,vibro,graph
1.411,vibro,graph
1.806,vibro,graph
2.182,vibro,graph
1.923,vibro,graph
1.922,vibro,graph
1.893,vibro,graph
2.253,vibro,graph
1.178,vibro,graph
2.042,vibro,graph
2.847,vibro,graph
3.453,vibro,graph
1.922,vibro,graph
3.021,vibro,graph
1.876,vibro,graph
2.109,vibro,graph
1.854,vibro,graph
1.386,vibro,graph
1.423,vibro,graph
1.382,vibro,graph
1.822,vibro,graph
2.436,vibro,graph
1.307,vibro,graph
2.705,vibro,graph
2.077,vibro,graph
1.866,vibro,graph
1.821,vibro,graph
1.887,vibro,graph
1.437,vibro,graph
1.095,vibro,graph
2.433,vibro,graph
2.621,vibro,graph
2.612,vibro,graph
3.352,vibro,graph
1.708,vibro,graph
1.917,vibro,graph
1.768,vibro,graph
1.684,vibro,graph
1.75,vibro,graph
1.564,vibro,graph
1.401,vibro,graph
3.617,vibro,graph
1.474,vibro,graph
2.477,vibro,graph
1.895,vibro,graph
2.611,vibro,graph
2.37,vibro,graph
1.545,vibro,graph
1.788,vibro,graph
1.437,vibro,graph
3.186,vibro,graph
2.119,vibro,graph
1.987,vibro,graph
2.924,vibro,graph
2.679,vibro,graph
1.173,vibro,graph
2.501,vibro,graph
1.451,vibro,graph
1.581,vibro,graph
1.994,vibro,graph
3.822,vibro,graph
3.545,vibro,graph
2.562,vibro,graph
2.371,vibro,graph
2.165,vibro,graph
2.286,vibro,graph
2.162,vibro,graph
2.142,vibro,graph
1.563,vibro,graph
1.791,vibro,graph
2.181,vibro,graph
1.612,vibro,graph
2.065,vibro,graph
2.281,vibro,graph
1.418,vibro,graph
1.896,vibro,graph
1.479,vibro,graph
1.712,vibro,graph
1.51,vibro,graph
2.248,vibro,graph
2.244,vibro,graph
2.406,vibro,graph
2.342,vibro,graph
2.613,vibro,graph
2.014,vibro,graph
1.204,vibro,graph
1.475,vibro,graph
2.153,vibro,graph
1.566,vibro,graph
1.487,vibro,graph
1.821,vibro,graph
2.17,vibro,graph
1.313,vibro,graph
2.323,vibro,graph
1.267,vibro,graph
1.655,vibro,graph
2.114,vibro,graph
2.443,vibro,graph
2.432,vibro,graph
1.839,vibro,graph
2.991,vibro,graph
2.534,vibro,graph
1.635,vibro,graph
2.2,vibro,graph
2.855,vibro,graph
1.4,vibro,graph
1.745,vibro,graph
3.212,vibro,graph
1.676,vibro,graph
1.333,vibro,graph
2.77,vibro,graph
1.386,vibro,graph
1.717,vibro,graph
1.927,vibro,graph
2.241,vibro,graph
2.354,vibro,graph
1.78,vibro,graph
1.537,vibro,graph
1.496,vibro,graph
2.568,novibro,AR
2.909,novibro,AR
2.443,novibro,AR
3.311,novibro,AR
2.408,novibro,AR
3.559,novibro,AR
1.397,novibro,AR
1.727,novibro,AR
1.615,novibro,AR
2.557,novibro,AR
1.56,novibro,AR
3.186,novibro,AR
2.162,novibro,AR
1.723,novibro,AR
1.878,novibro,AR
3.847,novibro,AR
2.019,novibro,AR
2.046,novibro,AR
1.653,novibro,AR
1.531,novibro,AR
1.992,novibro,AR
2.706,novibro,AR
2.556,novibro,AR
2.343,novibro,AR
3.243,novibro,AR
3.36,novibro,AR
2.564,novibro,AR
3.142,novibro,AR
1.565,novibro,AR
2.567,novibro,AR
1.826,novibro,AR
2.532,novibro,AR
2.606,novibro,AR
3.345,novibro,AR
1.823,novibro,AR
2.696,novibro,AR
3.557,novibro,AR
1.355,novibro,AR
3.111,novibro,AR
1.061,novibro,AR
2.068,novibro,AR
2.092,novibro,AR
2.472,novibro,AR
2.184,novibro,AR
2.03,novibro,AR
2.94,novibro,AR
2.595,novibro,AR
1.948,novibro,AR
1.36,novibro,AR
1.243,novibro,AR
1.394,novibro,AR
2.571,novibro,AR
1.824,novibro,AR
2.547,novibro,AR
2.081,novibro,AR
3.094,novibro,AR
1.902,novibro,AR
1.94,novibro,AR
1.95,novibro,AR
1.282,novibro,AR
1.656,novibro,AR
1.999,novibro,AR
2.571,novibro,AR
2.857,novibro,AR
2.136,novibro,AR
3.881,novibro,AR
1.465,novibro,AR
1.787,novibro,AR
1.77,novibro,AR
1.469,novibro,AR
1.722,novibro,AR
2.098,novibro,AR
2.135,novibro,AR
2.875,novibro,AR
2.055,novibro,AR
3.8,novibro,AR
2.297,novibro,AR
1.904,novibro,AR
1.723,novibro,AR
1.425,novibro,AR
1.386,novibro,AR
3.981,novibro,AR
1.463,novibro,AR
2.499,novibro,AR
2.749,novibro,AR
2.898,novibro,AR
3.03,novibro,AR
1.81,novibro,AR
1.416,novibro,AR
2.375,novibro,AR
1.066,novibro,AR
2.914,novibro,AR
3.93,novibro,AR
2.677,novibro,AR
2.212,novibro,AR
3.207,novibro,AR
3.177,novibro,AR
1.617,novibro,AR
1.223,novibro,AR
2.05,novibro,AR
1.099,novibro,AR
2.294,novibro,AR
1.876,novibro,AR
2.29,novibro,AR
2.156,novibro,AR
3.544,novibro,AR
2.031,novibro,AR
4.622,novibro,AR
1.42,novibro,AR
1.2,novibro,AR
1.289,novibro,AR
3.014,novibro,AR
1.165,novibro,AR
2.88,novibro,AR
2.498,novibro,AR
3.366,novibro,AR
3.065,novibro,AR
1.752,novibro,AR
1.409,novibro,AR
1.572,novibro,AR
1.392,novibro,AR
1.923,novibro,AR
1.006,novibro,AR
2.881,novibro,AR
1.869,novibro,AR
2.859,novibro,AR
2.649,novibro,AR
2.365,novibro,AR
1.39,novibro,AR
1.729,novibro,AR
1.294,novibro,AR
2.183,novibro,AR
1.151,novibro,AR
1.953,novibro,AR
2.477,novibro,AR
2.737,novibro,AR
2.238,novibro,AR
4.545,novibro,AR
1.193,novibro,AR
1.396,novibro,AR
0.802,novibro,AR
2.456,novibro,AR
1.692,novibro,AR
2.356,novibro,AR
1.968,novibro,AR
3.549,novibro,AR
2.06,novibro,AR
1.827,novibro,AR
3.329,novibro,AR
1.253,novibro,AR
3.493,vibro,AR
2.903,vibro,AR
1.846,vibro,AR
2.846,vibro,AR
1.842,vibro,AR
3.176,vibro,AR
4.566,vibro,AR
2.038,vibro,AR
2.406,vibro,AR
2.878,vibro,AR
1.855,vibro,AR
2.796,vibro,AR
1.04,vibro,AR
2.764,vibro,AR
2.009,vibro,AR
3.211,vibro,AR
2.541,vibro,AR
1.482,vibro,AR
2.64,vibro,AR
3.561,vibro,AR
2.837,vibro,AR
3.148,vibro,AR
1.131,vibro,AR
2.958,vibro,AR
2.645,vibro,AR
3.304,vibro,AR
1.162,vibro,AR
3.128,vibro,AR
2.414,vibro,AR
2.691,vibro,AR
1.174,vibro,AR
2.696,vibro,AR
1.281,vibro,AR
2.433,vibro,AR
2.253,vibro,AR
3.762,vibro,AR
2.057,vibro,AR
1.62,vibro,AR
1.525,vibro,AR
1.927,vibro,AR
2.067,vibro,AR
2.588,vibro,AR
1.342,vibro,AR
3.14,vibro,AR
2.272,vibro,AR
3.194,vibro,AR
2.067,vibro,AR
2.675,vibro,AR
2.254,vibro,AR
1.731,vibro,AR
