error,vibrations,obstacle
2.568,novibro,with_obs
2.909,novibro,with_obs
2.443,novibro,with_obs
3.311,novibro,with_obs
2.408,novibro,with_obs
3.559,novibro,with_obs
1.397,novibro,with_obs
1.727,novibro,with_obs
1.615,novibro,with_obs
2.557,novibro,with_obs
1.56,novibro,with_obs
3.186,novibro,with_obs
2.162,novibro,with_obs
1.723,novibro,with_obs
1.878,novibro,with_obs
3.847,novibro,with_obs
2.019,novibro,with_obs
2.046,novibro,with_obs
1.653,novibro,with_obs
1.531,novibro,with_obs
1.992,novibro,with_obs
2.706,novibro,with_obs
2.556,novibro,with_obs
2.343,novibro,with_obs
3.243,novibro,with_obs
3.36,novibro,with_obs
2.564,novibro,with_obs
3.142,novibro,with_obs
1.565,novibro,with_obs
2.567,novibro,with_obs
1.826,novibro,with_obs
2.532,novibro,with_obs
2.606,novibro,with_obs
3.345,novibro,with_obs
1.823,novibro,with_obs
2.696,novibro,with_obs
3.557,novibro,with_obs
1.355,novibro,with_obs
3.111,novibro,with_obs
1.061,novibro,with_obs
2.068,novibro,with_obs
2.092,novibro,with_obs
2.472,novibro,with_obs
2.184,novibro,with_obs
2.03,novibro,with_obs
2.94,novibro,with_obs
2.595,novibro,with_obs
1.948,novibro,with_obs
1.36,novibro,with_obs
1.243,novibro,with_obs
1.394,novibro,with_obs
2.571,novibro,with_obs
1.824,novibro,with_obs
2.547,novibro,with_obs
2.081,novibro,with_obs
3.094,novibro,with_obs
1.902,novibro,with_obs
1.94,novibro,with_obs
1.95,novibro,with_obs
1.282,novibro,with_obs
1.656,novibro,with_obs
1.999,novibro,with_obs
2.571,novibro,with_obs
2.857,novibro,with_obs
2.136,novibro,with_obs
3.881,novibro,with_obs
1.465,novibro,with_obs
1.787,novibro,with_obs
1.77,novibro,with_obs
1.469,novibro,with_obs
1.722,novibro,with_obs
2.098,novibro,with_obs
2.135,novibro,with_obs
2.875,novibro,with_obs
2.055,novibro,with_obs
3.8,novibro,with_obs
2.297,novibro,with_obs
1.904,novibro,with_obs
1.723,novibro,with_obs
1.425,novibro,with_obs
1.386,novibro,with_obs
3.981,novibro,with_obs
1.463,novibro,with_obs
2.499,novibro,with_obs
2.749,novibro,with_obs
2.898,novibro,with_obs
3.03,novibro,with_obs
1.81,novibro,with_obs
1.416,novibro,with_obs
2.375,novibro,with_obs
1.066,novibro,with_obs
2.914,novibro,with_obs
3.93,novibro,with_obs
2.677,novibro,with_obs
2.212,novibro,with_obs
3.207,novibro,with_obs
3.177,novibro,with_obs
1.617,novibro,with_obs
1.223,novibro,with_obs
2.05,novibro,with_obs
1.099,novibro,with_obs
2.294,novibro,with_obs
1.876,novibro,with_obs
2.29,novibro,with_obs
2.156,novibro,with_obs
3.544,novibro,with_obs
2.031,novibro,with_obs
4.622,novibro,with_obs
1.42,novibro,with_obs
1.2,novibro,with_obs
1.289,novibro,with_obs
3.014,novibro,with_obs
1.165,novibro,with_obs
2.88,novibro,with_obs
2.498,novibro,with_obs
3.366,novibro,with_obs
3.065,novibro,with_obs
1.752,novibro,with_obs
1.409,novibro,with_obs
1.572,novibro,with_obs
1.392,novibro,with_obs
1.923,novibro,with_obs
1.006,novibro,with_obs
2.881,novibro,with_obs
1.869,novibro,with_obs
2.859,novibro,with_obs
2.649,novibro,with_obs
2.365,novibro,with_obs
1.39,novibro,with_obs
1.729,novibro,with_obs
1.294,novibro,with_obs
2.183,novibro,with_obs
1.151,novibro,with_obs
1.953,novibro,with_obs
2.477,novibro,with_obs
2.737,novibro,with_obs
2.238,novibro,with_obs
4.545,novibro,with_obs
1.193,novibro,with_obs
1.396,novibro,with_obs
0.802,novibro,with_obs
2.456,novibro,with_obs
1.692,novibro,with_obs
2.356,novibro,with_obs
1.968,novibro,with_obs
3.549,novibro,with_obs
2.06,novibro,with_obs
1.827,novibro,with_obs
3.329,novibro,with_obs
1.253,novibro,with_obs
3.493,vibro,with_obs
2.903,vibro,with_obs
1.846,vibro,with_obs
2.846,vibro,with_obs
1.842,vibro,with_obs
3.176,vibro,with_obs
4.566,vibro,with_obs
2.038,vibro,with_obs
2.406,vibro,with_obs
2.878,vibro,with_obs
1.855,vibro,with_obs
2.796,vibro,with_obs
1.04,vibro,with_obs
2.764,vibro,with_obs
2.009,vibro,with_obs
3.211,vibro,with_obs
2.541,vibro,with_obs
1.482,vibro,with_obs
2.64,vibro,with_obs
3.561,vibro,with_obs
2.837,vibro,with_obs
3.148,vibro,with_obs
1.131,vibro,with_obs
2.958,vibro,with_obs
2.645,vibro,with_obs
3.304,vibro,with_obs
1.162,vibro,with_obs
3.128,vibro,with_obs
2.414,vibro,with_obs
2.691,vibro,with_obs
1.174,vibro,with_obs
2.696,vibro,with_obs
1.281,vibro,with_obs
2.433,vibro,with_obs
2.253,vibro,with_obs
3.762,vibro,with_obs
2.057,vibro,with_obs
1.62,vibro,with_obs
1.525,vibro,with_obs
1.927,vibro,with_obs
2.067,vibro,with_obs
2.588,vibro,with_obs
1.342,vibro,with_obs
3.14,vibro,with_obs
2.272,vibro,with_obs
3.194,vibro,with_obs
2.067,vibro,with_obs
2.675,vibro,with_obs
2.254,vibro,with_obs
1.731,vibro,with_obs
2.153,vibro,with_obs
3.234,vibro,with_obs
1.345,vibro,with_obs
2.772,vibro,with_obs
2.098,vibro,with_obs
3.368,vibro,with_obs
2.173,vibro,with_obs
2.187,vibro,with_obs
2.386,vibro,with_obs
1.675,vibro,with_obs
2.411,vibro,with_obs
3.125,vibro,with_obs
2.675,vibro,with_obs
3.011,vibro,with_obs
1.582,vibro,with_obs
3.466,vibro,with_obs
1.055,vibro,with_obs
2.047,vibro,with_obs
3.177,vibro,with_obs
1.37,vibro,with_obs
2.875,vibro,with_obs
3.171,vibro,with_obs
1.75,vibro,with_obs
3.255,vibro,with_obs
1.59,vibro,with_obs
3.313,vibro,with_obs
1.639,vibro,with_obs
1.402,vibro,with_obs
2.327,vibro,with_obs
1.563,vibro,with_obs
2.131,vibro,with_obs
3.26,vibro,with_obs
1.575,vibro,with_obs
2.783,vibro,with_obs
2.902,vibro,with_obs
3.546,vibro,with_obs
2.82,vibro,with_obs
2.675,vibro,with_obs
1.041,vibro,with_obs
1.845,vibro,with_obs
2.324,vibro,with_obs
2.724,vibro,with_obs
1.907,vibro,with_obs
2.188,vibro,with_obs
2.024,vibro,with_obs
3.051,vibro,with_obs
1.926,vibro,with_obs
1.777,vibro,with_obs
2.408,vibro,with_obs
1.649,vibro,with_obs
2.306,vibro,with_obs
2.38,vibro,with_obs
1.937,vibro,with_obs
2.868,vibro,with_obs
1.766,vibro,with_obs
3.875,vibro,with_obs
1.967,vibro,with_obs
2.529,vibro,with_obs
2.594,vibro,with_obs
1.372,vibro,with_obs
2.774,vibro,with_obs
2.606,vibro,with_obs
1.236,vibro,with_obs
2.208,vibro,with_obs
1.897,vibro,with_obs
3.45,vibro,with_obs
2.028,vibro,with_obs
2.444,vibro,with_obs
2.244,vibro,with_obs
2.556,vibro,with_obs
1.915,vibro,with_obs
2.14,vibro,with_obs
1.352,vibro,with_obs
1.903,vibro,with_obs
1.909,vibro,with_obs
3.9,vibro,with_obs
3.203,vibro,with_obs
2.595,vibro,with_obs
3.464,vibro,with_obs
2.936,vibro,with_obs
1.92,vibro,with_obs
2.451,vibro,with_obs
1.031,vibro,with_obs
2.99,vibro,with_obs
3.274,vibro,with_obs
3.496,vibro,with_obs
2.526,vibro,with_obs
2.126,vibro,with_obs
2.508,vibro,with_obs
2.438,vibro,with_obs
1.758,vibro,with_obs
2.01,vibro,with_obs
1.794,vibro,with_obs
2.71,vibro,with_obs
2.161,vibro,with_obs
3.188,vibro,with_obs
2.491,vibro,with_obs
2.129,vibro,with_obs
1.908,vibro,with_obs
2.105,vibro,with_obs
1.214,novibro,without_obs
3.359,novibro,without_obs
1.081,novibro,without_obs
2.525,novibro,without_obs
2.427,novibro,without_obs
3.032,novibro,without_obs
2.828,novibro,without_obs
1.326,novibro,without_obs
1.743,novibro,without_obs
0.763,novibro,without_obs
1.825,novibro,without_obs
3.464,novibro,without_obs
1.417,novibro,without_obs
2.525,novibro,without_obs
3.208,novibro,without_obs
3.793,novibro,without_obs
2.003,novibro,without_obs
1.467,novibro,without_obs
2.779,novibro,without_obs
1.409,novibro,without_obs
1.905,novibro,without_obs
3.381,novibro,without_obs
1.032,novibro,without_obs
2.332,novibro,without_obs
3.064,novibro,without_obs
4.059,novibro,without_obs
1.787,novibro,without_obs
2.487,novibro,without_obs
1.33,novibro,without_obs
1.671,novibro,without_obs
2.566,novibro,without_obs
3.195,novibro,without_obs
2.221,novibro,without_obs
2.007,novibro,without_obs
3.04,novibro,without_obs
3.596,novibro,without_obs
1.121,novibro,without_obs
2.057,novibro,without_obs
1.382,novibro,without_obs
1.638,novibro,without_obs
1.689,novibro,without_obs
4.219,novibro,without_obs
2.138,novibro,without_obs
2.379,novibro,without_obs
3.062,novibro,without_obs
3.019,novibro,without_obs
2.132,novibro,without_obs
1.517,novibro,without_obs
1.501,novibro,without_obs
1.302,novibro,without_obs
2.913,novibro,without_obs
3.457,novibro,without_obs
2.518,novibro,without_obs
2.25,novibro,without_obs
2.814,novibro,without_obs
3.155,novibro,without_obs
1.063,novibro,without_obs
1.626,novibro,without_obs
1.517,novibro,without_obs
1.427,novibro,without_obs
2.378,novibro,without_obs
2.944,novibro,without_obs
2.038,novibro,without_obs
2.386,novibro,without_obs
3.382,novibro,without_obs
3.281,novibro,without_obs
2.251,novibro,without_obs
1.252,novibro,without_obs
1.521,novibro,without_obs
1.291,novibro,without_obs
2.382,novibro,without_obs
3.579,novibro,without_obs
1.444,novibro,without_obs
1.799,novibro,without_obs
2.856,novibro,without_obs
3.761,novibro,without_obs
1.288,novibro,without_obs
0.842,novibro,without_obs
1.556,novibro,without_obs
1.361,novibro,without_obs
2.714,novibro,without_obs
3.422,novibro,without_obs
0.937,novibro,without_obs
2.425,novibro,without_obs
3.444,novibro,without_obs
3.671,novibro,without_obs
2.032,novibro,without_obs
1.271,novibro,without_obs
2.671,novibro,without_obs
1.416,novibro,without_obs
2.073,novibro,without_obs
2.668,novibro,without_obs
2.009,novibro,without_obs
2.445,novibro,without_obs
2.902,novibro,without_obs
4.398,novibro,without_obs
2.987,novibro,without_obs
1.995,novibro,without_obs
2.277,novibro,without_obs
1.194,novibro,without_obs
1.859,novibro,without_obs
3.514,novibro,without_obs
1.734,novibro,without_obs
2.435,novibro,without_obs
2.934,novibro,without_obs
3.088,novibro,without_obs
1.52,novibro,without_obs
2.595,novibro,without_obs
1.575,novibro,without_obs
1.441,novibro,without_obs
1.627,novibro,without_obs
2.273,novibro,without_obs
2.591,novibro,without_obs
2.345,novibro,without_obs
3.194,novibro,without_obs
2.72,novibro,without_obs
1.509,novibro,without_obs
2.066,novibro,without_obs
1.609,novibro,without_obs
1.275,novibro,without_obs
2.107,novibro,without_obs
4.099,novibro,without_obs
2.108,novibro,without_obs
1.939,novibro,without_obs
3.521,novibro,without_obs
2.83,novibro,without_obs
1.944,novibro,without_obs
2.05,novibro,without_obs
1.329,novibro,without_obs
0.837,novibro,without_obs
2.356,novibro,without_obs
4.817,novibro,without_obs
1.267,novibro,without_obs
3.282,novibro,without_obs
3.032,novibro,without_obs
2.866,novibro,without_obs
1.072,novibro,without_obs
2.199,novibro,without_obs
2.168,novibro,without_obs
1.26,novibro,without_obs
2.345,novibro,without_obs
3.742,novibro,without_obs
3.163,novibro,without_obs
2.371,novibro,without_obs
3.287,novibro,without_obs
2.887,novibro,without_obs
1.669,novibro,without_obs
3.006,novibro,without_obs
1.35,novibro,without_obs
1.003,novibro,without_obs
1.624,vibro,without_obs
4.36,vibro,without_obs
4.399,vibro,without_obs
1.732,vibro,without_obs
2.743,vibro,without_obs
3.848,vibro,without_obs
1.531,vibro,without_obs
2.055,vibro,without_obs
1.901,vibro,without_obs
1.53,vibro,without_obs
2.146,vibro,without_obs
3.055,vibro,without_obs
1.811,vibro,without_obs
2.149,vibro,without_obs
3.132,vibro,without_obs
3.413,vibro,without_obs
1.132,vibro,without_obs
1.887,vibro,without_obs
3.247,vibro,without_obs
1.941,vibro,without_obs
2.088,vibro,without_obs
3.07,vibro,without_obs
2.292,vibro,without_obs
2.657,vibro,without_obs
2.488,vibro,without_obs
3.878,vibro,without_obs
1.169,vibro,without_obs
1.736,vibro,without_obs
2.073,vibro,without_obs
1.739,vibro,without_obs
2.001,vibro,without_obs
1.543,vibro,without_obs
1.785,vibro,without_obs
1.7,vibro,without_obs
2.271,vibro,without_obs
3.742,vibro,without_obs
1.665,vibro,without_obs
2.366,vibro,without_obs
2.709,vibro,without_obs
1.494,vibro,without_obs
2.502,vibro,without_obs
3.323,vibro,without_obs
1.637,vibro,without_obs
1.567,vibro,without_obs
2.494,vibro,without_obs
3.691,vibro,without_obs
1.114,vibro,without_obs
1.827,vibro,without_obs
3.497,vibro,without_obs
1.264,vibro,without_obs
1.866,vibro,without_obs
3.849,vibro,without_obs
1.714,vibro,without_obs
1.963,vibro,without_obs
2.779,vibro,without_obs
3.88,vibro,without_obs
1.957,vibro,without_obs
1.99,vibro,without_obs
1.666,vibro,without_obs
1.121,vibro,without_obs
1.859,vibro,without_obs
2.291,vibro,without_obs
1.883,vibro,without_obs
2.082,vibro,without_obs
2.077,vibro,without_obs
3.979,vibro,without_obs
2.19,vibro,without_obs
2.47,vibro,without_obs
2.287,vibro,without_obs
