error,mode
1.5574543591252341,novibro
1.9293867479858506,novibro
3.3872012180470485,novibro
1.5974763876271403,novibro
2.1456385823796653,novibro
1.495281105546355,novibro
2.2193509485506966,novibro
1.7146375885592993,novibro
1.6372991099170846,novibro
1.7083310690507043,novibro
1.53953900504177,novibro
3.8710911597864897,novibro
2.2136391241186546,novibro
2.25212912568531,novibro
1.5867100509840142,novibro
1.7688089019593551,novibro
2.2450552710118648,novibro
2.1373271747373876,novibro
2.2433534417542713,novibro
1.523126019434477,novibro
1.7882394615237227,novibro
3.2208652698364797,novibro
2.219169863964217,novibro
1.7379271018016589,novibro
2.101040012034704,novibro
1.4934194288928,novibro
2.406901720704907,novibro
2.2613602285991408,novibro
1.6931067754103069,novibro
1.5051445555576173,novibro
1.3445961467144687,novibro
1.4313019279543284,novibro
1.8323676835195977,novibro
1.3400160907631784,novibro
1.5677670659586513,novibro
1.5681940597442265,novibro
1.8933519354912254,novibro
1.7364207071042899,novibro
2.4175230220044757,novibro
1.247154482802751,novibro
0.9957470965993274,novibro
1.9348801055129647,novibro
2.899800550646623,novibro
2.1089065304106933,novibro
1.5877532053296537,novibro
1.3171686219918697,novibro
2.233914710367619,novibro
2.611626287589573,novibro
2.247889774500092,novibro
2.3679159323417824,novibro
1.8278969277945356,novibro
2.7551840581230067,novibro
2.52829051103785,novibro
1.5696476897773108,novibro
1.932611725428877,novibro
2.2084236825687578,novibro
1.7430894724968267,novibro
2.0637254453302027,novibro
2.0331313844973535,novibro
1.7643319723695334,novibro
2.364731941274652,novibro
2.3312362550987897,novibro
2.925907136103619,novibro
1.2293840910257563,novibro
1.467835584105506,novibro
1.305396856549943,novibro
2.4264434333339073,novibro
1.4642923785281519,novibro
1.6692040271873634,novibro
1.5770745879854269,novibro
1.8984104022940862,novibro
1.8902116715976678,novibro
2.6794739877883584,novibro
1.7776908137956293,novibro
2.053903424318668,novibro
1.4238986025456777,novibro
1.8552146405761414,novibro
2.171426874404986,novibro
1.4241038218456101,novibro
1.631605171979748,novibro
2.4173620488483416,novibro
2.240590264738165,novibro
1.9158148080357533,novibro
1.473887936842179,novibro
1.382186256178154,novibro
1.6883761885142046,novibro
1.835887966382162,novibro
1.5257769892419337,novibro
1.6817229449923703,novibro
1.5804942678207596,novibro
3.2188875894347704,novibro
2.4313231708025684,novibro
1.7033415581237163,novibro
1.4358537258635051,novibro
2.1143692241759102,novibro
1.239906544929894,novibro
1.9795471251872987,novibro
1.8113321464395697,novibro
2.1466273024408995,novibro
1.4801663972773822,novibro
1.4606258669684313,novibro
3.091490492721767,novibro
1.9081208583384215,novibro
1.501119923493006,novibro
2.268550552193744,novibro
1.4455644404356418,novibro
2.1497035280075822,novibro
1.9501768675623201,novibro
1.7518532892919925,novibro
1.6125416806587345,novibro
1.0952984555819547,novibro
3.996216683548245,novibro
2.7275779276654757,novibro
1.4517215651800186,novibro
1.987774448691893,novibro
1.7479141338278261,novibro
1.7496283883392565,novibro
2.5020365224194636,novibro
2.0936687301906893,novibro
1.631430455253575,novibro
0.920043584114506,novibro
1.5684001214355332,novibro
1.945770961903913,novibro
1.4468482511775265,novibro
2.6299838246936065,novibro
1.5261698894522953,novibro
1.4211035575994913,novibro
2.554098772957559,novibro
2.1023083708901003,novibro
1.4632429578517936,novibro
1.1538724903540316,novibro
1.5972907860754078,novibro
1.7845093835026502,novibro
1.28030276175698,novibro
2.1898912033174263,novibro
1.2015478240828645,novibro
1.8375364500789115,novibro
1.548310971102262,novibro
2.592459998720864,novibro
1.5603856653562305,novibro
0.9558221919208444,novibro
2.3862593045382394,novibro
3.3257490958600053,novibro
1.065966521788477,novibro
1.8019540987736864,novibro
1.2133554423184592,novibro
2.2194409452676416,novibro
2.1938317906259073,novibro
2.616090644349991,novibro
2.4404158156428903,novibro
2.5679282254174836,vibro
1.8379756192375831,vibro
2.0903969822774893,vibro
1.9499355148982636,vibro
3.0986791911555085,vibro
2.488537327967974,vibro
1.891451590804402,vibro
1.8480310397417798,vibro
2.8985078281816596,vibro
1.6380750897277085,vibro
1.5871673441945486,vibro
1.6716230058654695,vibro
1.538112297551038,vibro
1.8969080381220385,vibro
2.897096011798166,vibro
2.2151140908439237,vibro
1.286195637240154,vibro
2.322256509835982,vibro
2.462874883892974,vibro
1.8318571957199898,vibro
1.541011991376912,vibro
1.8158151847603843,vibro
1.2496899402537491,vibro
1.1889364120650043,vibro
2.4826992737591302,vibro
1.4104293043181761,vibro
2.1023628369422047,vibro
2.049007761581764,vibro
1.8881182796174232,vibro
1.5878992950887638,vibro
2.1624976120008412,vibro
2.355464773086971,vibro
1.4107320510238444,vibro
1.806200626878462,vibro
2.1821940439250995,vibro
1.9227601965392913,vibro
1.9222483613619799,vibro
1.8928454868156768,vibro
2.2532248282101444,vibro
1.1781907224699952,vibro
2.0419377830829175,vibro
2.8465075410889464,vibro
3.4530574448653786,vibro
1.9219686196257002,vibro
3.0213798430956906,vibro
1.8755385944280087,vibro
2.1094388189532247,vibro
1.8543201099257327,vibro
1.3864968538527662,vibro
1.422735526651744,vibro
1.3821326869257617,vibro
1.8216626593222938,vibro
2.4364337966521163,vibro
1.306846616198735,vibro
2.704790168524667,vibro
2.0769797897520172,vibro
1.8664291499294987,vibro
1.82089479897025,vibro
1.8867117803686866,vibro
1.437162169013468,vibro
1.095203186612289,vibro
2.4334502251196217,vibro
2.6206216466540013,vibro
2.611675396725517,vibro
3.3521616991636587,vibro
1.708154047665396,vibro
1.91676865868828,vibro
1.7681031842709998,vibro
1.68355802837831,vibro
1.7503295544421948,vibro
1.5636165554374626,vibro
1.4013895851481202,vibro
3.616991590503872,vibro
1.473821473916748,vibro
2.4773325587936017,vibro
1.8951774059244937,vibro
2.6113530192651733,vibro
2.3698359524702886,vibro
1.5453808807579896,vibro
1.7882978077410456,vibro
1.4370579085662025,vibro
3.185971085397037,vibro
2.118778098617021,vibro
1.9871339763207208,vibro
2.9239030595220385,vibro
2.6786403878016305,vibro
1.1734480438157837,vibro
2.500673661305312,vibro
1.450588315307625,vibro
1.5805303688444272,vibro
1.9936880939425425,vibro
3.822282506080328,vibro
3.5449537363568413,vibro
2.5618353493126964,vibro
2.370701068682921,vibro
2.1646314565169718,vibro
2.2855534227031695,vibro
2.162104683709104,vibro
2.1417473664552538,vibro
1.5627337299413395,vibro
1.7910449058172906,vibro
2.1806960393465986,vibro
1.6121990315489347,vibro
2.0647479873811205,vibro
2.281142861191991,vibro
1.4178408028421239,vibro
1.896361236371678,vibro
1.478903625385592,vibro
1.7116399803709617,vibro
1.5096038731365027,vibro
2.2475068725309124,vibro
2.2442165896387842,vibro
2.4059461939315723,vibro
2.342074427671763,vibro
2.612942794969233,vibro
2.0144383479423005,vibro
1.2038062168827752,vibro
1.4749571985608192,vibro
2.1532322443781426,vibro
1.5659857446884349,vibro
1.4866483867934042,vibro
1.821110054195537,vibro
2.1697216737574427,vibro
1.3127326281472305,vibro
2.32255266520528,vibro
1.2669764135069728,vibro
1.6550177820430612,vibro
2.114470101585218,vibro
2.4426601459153985,vibro
2.4324652216298888,vibro
1.8385125973991872,vibro
2.991367392045363,vibro
2.533602161140667,vibro
1.6351516027862183,vibro
2.1996629798257556,vibro
2.8547693773050207,vibro
1.3996256269510203,vibro
1.7449401658668102,vibro
3.2116183953093977,vibro
1.6762806708775317,vibro
1.3328861584612275,vibro
2.7696658672829124,vibro
1.3856267832034146,vibro
1.7170574616636678,vibro
1.9265844540823294,vibro
2.2412228035711537,vibro
2.3539433745390688,vibro
1.7802326983283372,vibro
1.5366493760029287,vibro
1.4957631685678303,vibro
